################################################################## 

SERIE MENSILI: 

################################################################## 



 Diagnostica modelli originali: 
        TITLE       BIC QR.prob QR2.prob QSR.prob N.prob N.test    TVA    TVC
1   FATEXP_10 -7.087890   0.236    0.118    0.982  0.888  0.238  0.422  0.244
2   FATEXP_11 -5.624680   0.839    0.000    1.000  0.136   3.99 -1.870 -0.710
3   FATEXP_13 -7.650180   0.830    0.021    0.834  0.507   1.36 -0.760  0.882
4   FATEXP_14 -6.581890   0.017    0.910    1.000  0.252   2.76  0.210  1.650
5   FATEXP_15  1.417300   0.055    0.543    1.000  0.698  0.719 -0.630  0.564
6   FATEXP_16 -0.129840   0.446    0.604    0.976  0.313   2.32 -1.470  0.410
7   FATEXP_17 -7.294600   0.202    0.060    0.726  0.915  0.177  0.147 -0.390
8   FATEXP_18 -5.580690   0.053    0.824    0.680  0.303   2.39  1.040  1.150
9   FATEXP_19  1.735140   0.837    0.007    1.000  0.622  0.951  0.841 -0.490
10  FATEXP_20  0.406686   0.400    0.012    0.221  0.958  0.086 -0.280 -0.090
11  FATEXP_21 -5.930810   0.758    0.000    1.000  0.919  0.170 -0.400 -0.080
12  FATEXP_22 -8.019440   0.140    0.463    0.381  0.568   1.13 -0.770  0.734
13  FATEXP_23 -7.283360   0.293    0.541    0.886  0.887  0.240 -0.480  0.099
14  FATEXP_24 -7.050230   0.890    0.311    0.259  0.527   1.28 -0.880  0.711
15  FATEXP_25 -7.080040   0.332    0.000    1.000  0.001   15.1 -0.580  3.840
16  FATEXP_26 -6.358470   0.069    0.866    1.000  0.693  0.733  0.649  0.559
17  FATEXP_27 -7.640950   0.566    0.101    0.845  0.165   3.60 -1.440  1.230
18  FATEXP_28 -7.688670   0.251    0.276    0.535  0.362   2.03 -1.350  0.444
19  FATEXP_29 -5.957820   0.092    0.403    0.527  0.647  0.870 -0.210  0.910
20  FATEXP_31 -7.340570   0.408    0.038    0.763  0.250   2.77  0.661  1.530
21  FATEXP_32 -7.241510   0.021    0.987    0.177  0.001   13.7 -2.500  2.720
22  FATEXP_33 -3.683950   0.242    0.000    0.563  0.089   4.83 -0.580  2.120
23   FATEXP_C -0.705530   0.504    0.180    0.868  0.607   1.00  0.986 -0.170
24     C_DEFL -7.174430   0.012    0.209    0.760  0.487   1.44 -0.190  1.190
25    DIVIZ08 -3.512490   0.084    0.001    0.219  0.000   25.8  3.820  3.350
26    DIVID08 -5.355090   0.460    0.028    0.355  0.421   1.73 -1.260 -0.390
27    DIVIE08 -4.050610   0.682    0.427    0.592  0.413   1.77  1.320  0.159
28    DIVIZ10 -6.407250   0.078    0.003    0.765  0.742  0.598 -0.360  0.684
29    DIVID10 -7.006270   0.078    0.843    1.000  0.000   17.3  2.660  3.200
30    DIVIE10 -6.513180   0.429    0.361    0.610  0.608  0.995  0.623  0.779
31    DIVIZ11 -5.061160   0.686    0.894    1.000  0.003   11.4 -1.070  3.200
32    DIVID11 -5.810520   0.214    0.509    0.812  0.021   7.69  1.750  2.160
33    DIVIE11 -5.626590   0.121    0.399    0.436  0.482   1.46 -0.120  1.200
34    DIVIZ13 -5.992140   0.009    0.829    0.886  0.182   3.41  0.529  1.770
35    DIVID13 -6.228440   0.001    0.281    0.472  0.249   2.78  0.514  1.590
36    DIVIE13 -6.188780   0.010    0.313    0.634  0.953  0.096 -0.150  0.273
37    DIVIZ14 -4.603470   0.086    0.015    0.989  0.370   1.99  1.250  0.659
38    DIVID14 -5.084010   0.000    0.928    0.959  0.278   2.56  1.480  0.606
39    DIVIE14 -4.923180   0.000    0.711    1.000  0.842  0.344  0.459  0.365
40    DIVIZ15 -5.070510   0.000    0.349    1.000  0.917  0.174 -0.280  0.313
41    DIVID15 -5.023300   0.008    0.860    0.999  0.902  0.207  0.003  0.455
42    DIVIE15 -5.591940   0.007    0.984    0.901  0.925  0.155 -0.350 -0.170
43    DIVIZ16 -5.157860   0.898    0.652    1.000  0.003   11.4 -1.160  3.170
44    DIVID16 -6.053020   0.001    0.407    0.592  0.000   16.4  0.490  4.020
45    DIVIE16 -5.518780   0.037    0.222    0.980  0.903  0.204 -0.450 -0.030
46    DIVIZ17 -6.439450   0.174    0.003    0.361  0.381   1.93  0.340  1.350
47    DIVID17 -6.867230   0.000    0.139    0.838  0.061   5.61 -0.860  2.210
48    DIVIE17 -6.607510   0.000    0.000    0.285  0.284   2.52 -0.700 -1.430
49    DIVIZ18 -5.184490   0.595    0.228    0.743  0.430   1.69 -0.670  1.110
50    DIVID18 -5.732040   0.462    0.018    0.812  0.613  0.980  0.121  0.982
51    DIVIE18 -5.388760   0.625    0.726    1.000  0.000   23.1  1.880  4.420
52    DIVID19 -5.574880   0.581    0.366    1.000  0.000   38.1 -2.830  5.480
53    DIVIZ20 -6.120610   0.280    0.765    1.000  0.734  0.618 -0.630  0.470
54    DIVID20 -6.613470   0.000    0.334    0.028  0.121   4.22  0.056  2.050
55    DIVIE20 -6.147350   0.105    0.060    0.512  0.073   5.23 -0.040  2.290
56    DIVIZ21 -4.970250   0.737    0.543    1.000  0.281   2.54 -1.470  0.619
57    DIVID21 -6.229340   0.572    0.062    0.571  0.348   2.11  0.900  1.140
58    DIVIE21 -5.427040   0.759    0.014    0.878  0.557   1.17 -0.740 -0.790
59    DIVIZ22 -6.405040   0.157    0.355    0.917  0.395   1.86  0.384 -1.310
60    DIVID22 -6.663250   0.001    0.114    0.328  0.210   3.12  1.620  0.708
61    DIVIE22 -6.701660   0.004    0.213    0.845  0.522   1.30 -1.060  0.408
62    DIVIZ23 -6.104610   0.000    0.199    0.366  0.000   20.8 -2.260  3.960
63    DIVID23 -6.279030   0.384    0.172    0.600  0.021   7.76 -0.500  2.740
64    DIVIE23 -6.353690   0.166    0.039    0.273  0.918  0.171  0.183  0.370
65    DIVIZ24 -5.367350   0.021    0.447    0.680  0.012   8.87 -0.750  2.880
66    DIVID24 -5.628810   0.000    0.036    0.729  0.106   4.48  0.366  2.090
67    DIVIE24 -5.493500   0.630    0.245    1.000  0.004   11.1 -0.180  3.320
68    DIVIZ25 -5.847540   0.347    0.083    0.693  0.004   11.0 -0.590  3.260
69    DIVID25 -6.539970   0.343    0.909    0.761  0.615  0.972 -0.820  0.540
70    DIVIE25 -6.043600   0.066    0.003    0.813  0.288   2.49  0.032  1.580
71    DIVIZ26 -4.641710   0.143    0.001    0.742  0.001   14.1 -2.380  2.900
72    DIVID26 -4.959380   0.015    0.018    1.000  0.338   2.17 -1.440 -0.300
73    DIVIE26 -4.881160   0.644    0.126    1.000  0.001   14.1 -1.210  3.560
74    DIVIZ27 -5.952920   0.319    0.873    0.760  0.033   6.81  1.470  2.160
75    DIVID27 -5.699510   0.317    0.542    0.966  0.028   7.14  1.870  1.910
76    DIVIE27 -6.130680   0.075    0.159    0.583  0.195   3.27  1.300  1.260
77    DIVIZ28 -5.995300   0.209    0.198    0.799  0.059   5.65  1.730  1.630
78    DIVID28 -5.581630   0.702    0.288    0.180  0.015   8.35  2.210  1.860
79    DIVIE28 -6.038460   0.140    0.021    0.258  0.003   11.9 -1.390  3.150
80    DIVIZ29 -5.194320   0.599    0.151    0.998  0.000   26.4  2.840  4.290
81    DIVID29 -4.500750   0.925    0.584    1.000  0.217   3.06  0.374  1.710
82    DIVIE29 -5.290200   0.496    0.040    0.808  0.000   69.7  4.140  7.250
83    DIVIZ30 -3.098010   0.738    0.000    0.447  0.257   2.72  1.600  0.392
84    DIVIZ31 -5.542140   0.046    0.633    0.315  0.194   3.28  1.180  1.370
85    DIVID31 -5.968050   0.551    0.270    0.995  0.000   36.5  3.190  5.130
86    DIVIE31 -6.000230   0.172    0.519    0.704  0.253   2.75  0.580  1.550
87    DIVIZ32 -5.315310   0.033    0.421    0.434  0.209   3.13 -0.500  1.700
88    DIVID32 -5.535830   0.249    0.234    0.566  0.641  0.891  0.784  0.525
89    DIVIE32 -5.479180   0.000    0.539    0.001  0.001   13.4  1.800  3.190
90    DIVIZ33 -2.611360   0.257    0.058    0.432  0.027   7.21 -2.080  1.700
91    DIVID33 -4.257570   0.096    0.921    0.554  0.783  0.489 -0.090  0.694
92    MIGSZ_1 -6.283200   0.144    0.999    1.000  0.902  0.206  0.369 -0.260
93   NONDUNAZ -7.056340   0.056    0.756    0.665  0.096   4.69  1.950  0.945
94   NONDUEST -6.380210   0.529    0.429    0.827  0.182   3.41  1.100  1.480
95   ENERGNAZ -5.643040   0.433    0.877    1.000  0.000   18.5 -2.570  3.460
96   ENERGEST -3.651410   0.318    0.222    1.000  0.085   4.94 -1.730 -1.390
97    MIGSZ_2 -6.099950   0.415    0.038    1.000  0.533   1.26  1.120 -0.090
98   DUREVNAZ -6.101770   0.140    0.049    0.815  0.538   1.24  0.802 -0.770
99   DUREVEST -6.033350   0.001    0.012    0.199  0.001   13.7  1.040  3.560
100   MIGSZ_3 -5.999140   0.297    0.538    1.000  0.003   11.6 -1.200  3.190
101  INVESNAZ -5.465350   0.185    0.520    0.650  0.029   7.09  0.834  2.530
102  INVESEST -5.563660   0.069    0.000    0.864  0.000   15.3 -0.040  3.910
103   MIGSZ_4 -6.707610   0.011    0.395    0.977  0.401   1.83  1.340  0.214
104  INTERNAZ -6.691090   0.000    0.000    0.310  0.632  0.919 -0.790  0.544
105  INTEREST -6.774530   0.000    0.001    0.691  0.187   3.35 -0.850  1.620


 Diagnostica modelli nuovi: 
        TITLE       BIC QR.prob QR2.prob QSR.prob N.prob N.test    TVA    TVC
1   FATEXP_10 -7.087890   0.236    0.118    0.982  0.888  0.238  0.422  0.244
2   FATEXP_11 -5.624680   0.839    0.000    1.000  0.136   3.99 -1.870 -0.710
3   FATEXP_13 -7.650180   0.830    0.021    0.834  0.507   1.36 -0.760  0.882
4   FATEXP_14 -6.581890   0.017    0.910    1.000  0.252   2.76  0.210  1.650
5   FATEXP_15  1.417300   0.055    0.543    1.000  0.698  0.719 -0.630  0.564
6   FATEXP_16 -0.129840   0.446    0.604    0.976  0.313   2.32 -1.470  0.410
